time,open,high,low,close,Volume,Volume MA
2025-11-19T15:10:00Z,92275,92305,92005,92090,55,15.45
2025-11-19T15:11:00Z,92125,92235,92125,92235,16,16.05
2025-11-19T15:12:00Z,92220,92255,92125,92125,18,16.6
2025-11-19T15:13:00Z,92090,92180,92090,92180,7,16.65
2025-11-19T15:14:00Z,92115,92135,92070,92080,5,16.4
2025-11-19T15:15:00Z,92125,92225,92125,92210,8,16.35
2025-11-19T15:16:00Z,92245,92420,92245,92380,29,15.85
2025-11-19T15:17:00Z,92400,92480,92360,92395,8,15.9
2025-11-19T15:18:00Z,92340,92340,92105,92145,5,15.2
2025-11-19T15:19:00Z,92215,92220,92155,92155,4,15.05
2025-11-19T15:20:00Z,92095,92095,91905,91905,5,14.7
2025-11-19T15:21:00Z,91875,91915,91785,91785,13,15.1
2025-11-19T15:22:00Z,91790,91790,91545,91555,10,15.15
2025-11-19T15:23:00Z,91585,91585,91445,91540,9,15.35
2025-11-19T15:24:00Z,91570,91575,91565,91575,4,14.5
2025-11-19T15:25:00Z,91490,91490,91215,91215,27,15.05
2025-11-19T15:26:00Z,91340,91340,91280,91290,9,14.9
2025-11-19T15:27:00Z,91270,91370,91270,91350,6,14.1
2025-11-19T15:28:00Z,91280,91280,91190,91240,11,13
2025-11-19T15:29:00Z,91305,91390,91305,91330,10,12.95
2025-11-19T15:30:00Z,91285,91295,90945,91015,66,13.5
2025-11-19T15:31:00Z,90990,90990,90830,90935,28,14.1
2025-11-19T15:32:00Z,90940,91010,90890,90970,18,14.1
2025-11-19T15:33:00Z,90935,90965,90845,90870,28,15.15
2025-11-19T15:34:00Z,90855,90855,90740,90740,12,15.5
2025-11-19T15:35:00Z,90770,90805,90705,90780,10,15.6
2025-11-19T15:36:00Z,90760,90840,90760,90790,5,14.4
2025-11-19T15:37:00Z,90725,90915,90680,90800,14,14.7
2025-11-19T15:38:00Z,90770,90770,90725,90760,5,14.7
2025-11-19T15:39:00Z,90700,90760,90640,90665,30,16
2025-11-19T15:40:00Z,90640,90710,90600,90665,15,16.5
2025-11-19T15:41:00Z,90680,90870,90675,90870,11,16.4
